epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,672.997,3.79242,6.54049,3.88493,0.35051,0.10448,0.05708,0.0213,2.40353,3.30015,2.85108,0.00332667,0.00332667,0.00332667
2,1322.93,2.0569,2.56371,2.0799,0.47417,0.25849,0.18122,0.08396,1.97703,2.27816,2.14955,0.00659407,0.00659407,0.00659407
3,2153.02,1.90777,1.95133,1.8881,0.48132,0.33216,0.27793,0.12416,1.86905,2.80367,2.07057,0.00979547,0.00979547,0.00979547
4,2809.38,1.86436,1.7315,1.83219,0.61613,0.39498,0.35147,0.17042,1.80055,1.96429,1.95773,0.009703,0.009703,0.009703
5,3625.49,1.80094,1.54243,1.77571,0.61241,0.42537,0.42348,0.22326,1.73661,1.72851,1.91255,0.009604,0.009604,0.009604
6,4277.87,1.74946,1.41765,1.73786,0.67255,0.46552,0.46527,0.24168,1.74063,1.67159,1.87534,0.009505,0.009505,0.009505
7,4915.34,1.72144,1.3188,1.70678,0.74992,0.44465,0.52079,0.2809,1.68243,1.52396,1.84692,0.009406,0.009406,0.009406
8,5652.93,1.69957,1.23171,1.68524,0.81964,0.45638,0.61855,0.32683,1.67549,1.49183,1.82973,0.009307,0.009307,0.009307
9,6303,1.68166,1.16562,1.66919,0.79796,0.51117,0.57914,0.29765,1.6766,1.47056,1.83185,0.009208,0.009208,0.009208
10,7038.98,1.6628,1.09926,1.65631,0.74327,0.6764,0.74619,0.4083,1.60153,1.36651,1.76183,0.009109,0.009109,0.009109
11,7683.17,1.63974,1.04189,1.64109,0.78452,0.72751,0.80802,0.42637,1.61135,1.36778,1.77417,0.00901,0.00901,0.00901
12,8419.78,1.62703,0.99707,1.62402,0.6429,0.76903,0.76758,0.41479,1.59765,1.3147,1.75739,0.008911,0.008911,0.008911
13,9068.34,1.61631,0.97212,1.61357,0.80459,0.75776,0.8259,0.47637,1.58444,1.31001,1.73674,0.008812,0.008812,0.008812
14,9713.32,1.60386,0.94331,1.60682,0.78516,0.72107,0.79056,0.43941,1.58918,1.2596,1.73932,0.008713,0.008713,0.008713
15,10553.5,1.59851,0.91725,1.60679,0.80628,0.8035,0.8362,0.46971,1.55403,1.25484,1.71669,0.008614,0.008614,0.008614
16,11207.1,1.57967,0.89403,1.58892,0.80702,0.82898,0.85433,0.47047,1.55309,1.23096,1.71333,0.008515,0.008515,0.008515
17,12012.9,1.57437,0.8658,1.5789,0.81016,0.89882,0.89711,0.50084,1.53365,1.16411,1.70393,0.008416,0.008416,0.008416
18,12667.1,1.56362,0.85052,1.57583,0.80551,0.85542,0.86684,0.47991,1.56554,1.19715,1.72024,0.008317,0.008317,0.008317
19,13308.1,1.54864,0.81638,1.56997,0.83888,0.90722,0.89987,0.52073,1.51963,1.15545,1.69259,0.008218,0.008218,0.008218
20,14049.7,1.54552,0.81193,1.5663,0.86158,0.89376,0.88847,0.49794,1.52974,1.16369,1.69492,0.008119,0.008119,0.008119
21,14703.8,1.53984,0.79453,1.561,0.84409,0.93834,0.9111,0.53444,1.49237,1.10241,1.66246,0.00802,0.00802,0.00802
22,15343,1.53095,0.77983,1.55233,0.82445,0.91542,0.88981,0.52018,1.48922,1.14059,1.6675,0.007921,0.007921,0.007921
23,16088.9,1.51827,0.76423,1.54824,0.88814,0.92695,0.9141,0.53699,1.5018,1.1644,1.66853,0.007822,0.007822,0.007822
24,16742.4,1.52013,0.74859,1.53858,0.86939,0.94517,0.90651,0.53879,1.50505,1.13708,1.66633,0.007723,0.007723,0.007723
25,17382.5,1.50214,0.73142,1.52893,0.87088,0.95674,0.91385,0.54827,1.4888,1.11632,1.65786,0.007624,0.007624,0.007624
26,18034.1,1.48725,0.72448,1.52559,0.85086,0.93757,0.91286,0.55654,1.45662,1.07657,1.63926,0.007525,0.007525,0.007525
27,18720.3,1.48839,0.70987,1.51886,0.88434,0.95637,0.91534,0.56125,1.46355,1.08295,1.63604,0.007426,0.007426,0.007426
28,19455.9,1.48832,0.70843,1.51793,0.86244,0.98196,0.91553,0.55574,1.45039,1.06442,1.63052,0.007327,0.007327,0.007327
29,20100.8,1.47385,0.69531,1.50734,0.88437,0.97159,0.92351,0.56244,1.4444,1.05598,1.6256,0.007228,0.007228,0.007228
30,20746.6,1.46588,0.68225,1.50183,0.87876,0.97962,0.91705,0.55733,1.44753,1.07437,1.62682,0.007129,0.007129,0.007129
31,21477.9,1.46768,0.67737,1.50847,0.8795,0.97002,0.91574,0.56401,1.45188,1.06157,1.62304,0.00703,0.00703,0.00703
32,22125.1,1.46202,0.66389,1.50253,0.88724,0.97051,0.91758,0.55456,1.45421,1.04943,1.62587,0.006931,0.006931,0.006931
33,22865.5,1.45646,0.66118,1.49934,0.88528,0.97916,0.91935,0.56743,1.43701,1.04012,1.61837,0.006832,0.006832,0.006832
34,23513,1.44819,0.65807,1.49467,0.88236,0.97914,0.91861,0.57734,1.41974,1.06207,1.60492,0.006733,0.006733,0.006733
35,24167,1.44374,0.65211,1.49165,0.88467,0.98047,0.91954,0.57249,1.42632,1.05524,1.60729,0.006634,0.006634,0.006634
36,24815.8,1.4347,0.63547,1.4769,0.89257,0.97887,0.92452,0.57937,1.43836,1.0665,1.61602,0.006535,0.006535,0.006535
37,25469.9,1.43253,0.63448,1.47774,0.89113,0.98273,0.91171,0.56458,1.43201,1.05432,1.60961,0.006436,0.006436,0.006436
38,26117.2,1.42203,0.62759,1.47314,0.8892,0.98223,0.92058,0.57666,1.41845,1.03966,1.59567,0.006337,0.006337,0.006337
39,26769.3,1.40509,0.61538,1.46592,0.89022,0.98312,0.92875,0.59078,1.42761,1.04037,1.6007,0.006238,0.006238,0.006238
40,27416.2,1.4129,0.61595,1.46684,0.88952,0.98059,0.9241,0.59184,1.40747,1.03108,1.59172,0.006139,0.006139,0.006139
41,28065.1,1.40431,0.60924,1.45953,0.88837,0.98193,0.92269,0.58422,1.4089,1.04367,1.59065,0.00604,0.00604,0.00604
